trade_id,side,open_time,open_price,close_time,close_price,pips,outcome,reason
trade_1,buy,2025-10-15 00:00:00+00:00,1.16036,2025-10-15 00:52:00+00:00,1.16136,10.0,win,tp
trade_3,buy,2025-10-15 00:52:00+00:00,1.16136,2025-10-15 02:09:00+00:00,1.16236,10.0,win,tp
trade_5,buy,2025-10-15 02:09:00+00:00,1.16236,2025-10-15 06:48:00+00:00,1.16336,10.0,win,tp
trade_7,buy,2025-10-15 06:48:00+00:00,1.16336,2025-10-15 07:46:00+00:00,1.16436,10.0,win,tp
trade_10,sell,2025-10-15 07:46:00+00:00,1.16436,2025-10-15 08:30:00+00:00,1.16336,10.0,win,tp
trade_8,sell,2025-10-15 06:48:00+00:00,1.16336,2025-10-15 10:24:00+00:00,1.16236,10.0,win,tp
trade_6,sell,2025-10-15 02:09:00+00:00,1.16236,2025-10-15 13:02:00+00:00,1.16136,10.0,win,tp
trade_2,sell,2025-10-15 00:00:00+00:00,1.16036,2025-10-15 23:59:00+00:00,1.1646,-42.4,loss,closed_end
trade_4,sell,2025-10-15 00:52:00+00:00,1.16136,2025-10-15 23:59:00+00:00,1.1646,-32.4,loss,closed_end
trade_9,buy,2025-10-15 07:46:00+00:00,1.16436,2025-10-15 23:59:00+00:00,1.1646,2.4,win,closed_end
